PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpUJWAjOFm/;Carousel;173;0;0;2025-11-29 18:33:18;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/588708168_17951286453046885_9216992943417358436_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NjYzODM2MjA1NzQ4MDk3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=Dnou0vZolzkQ7kNvwFLnpKW&_nc_oc=Adnc1S6CiJgo6Rt8qSuShZw-8TWBIq6kFwo1xlVpZONAvDMIY81AD_XAske2iyhNNVqxr_zSgCAP49OuVHqMKunh&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_Afi7WYN5lpPWw49eL35-BbrdhnotelFgZIj4wfOnT4ZhxQ&oe=693112E8;Cihannüma Genel Başkanı Sayın Selim Cerrah, Cihannüma Genel Merkez Yönetim Kurulu Üyesi Doç. Dr. Kamuran Gökdağ ile Cihannüma Mardin İl Temsilcisi İmran Tekin, Valimiz Sayın Tuncay Akkoyun’a ziyarette bulundu.  @iletisim  @tcicisleri;11238.0;0
https://www.instagram.com/p/DRo-XHUjJxZ/;Carousel;156;0;0;2025-11-29 15:22:56;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/588550215_17951268924046885_6088321374736108531_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NjU0MjU0ODc4NjE5NDc4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=_KIAao8hS2IQ7kNvwEfXLPk&_nc_oc=AdlykdTPwjBtyw_LGN0ZIbscDWSrn1ZTnaYIUclxf7iPald_aEcFX7PjNigcRFCMk6Kp0Lf5OKtTj-BDdzDUoWZa&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_AfiHsS154MCek5Q7RH68kX0uu90kQwsUeWcjy8aX8n4nnQ&oe=69311FAA;Memur-Sen ve Eğitim-Bir-Sen Genel Başkanı Sayın Ali Yalçın ile Memur-Sen ve Eğitim-Bir-Sen Mardin İl Başkanı Sayın Abdulselam Demir, Valimiz Sayın Tuncay Akkoyun’a ziyarette bulundular.  @iletisim  @tcicisleri;;0
https://www.instagram.com/p/DRnKfM4DF3N/;Carousel;202;0;0;2025-11-28 22:30:25;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/588614371_17951209332046885_6909458040260082194_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NjAzMjkzMDM5ODAwODYxMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjd4NzEyLnNkci5DMyJ9&_nc_ohc=efagSGBt33EQ7kNvwHzyITn&_nc_oc=AdlEDAwa3SjdW0jQgHc_SNUMdwLDGDdfRC5KCOhI8DDUs1FvWOY-6ceQLVAmEYdwQ5CopRUkqDyf38LFn1g-IKXf&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_AfjDRUImMqYYa3Q7lPyBDQIZe3-AayVM2ji2m4CKpsOWuA&oe=69311918;"📌Midyat Belediye Başkanlığı  İlimizi teşrif eden Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. Vedat Işıkhan ile Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu; Valimiz Sayın Tuncay Akkoyun, Mardin Milletvekillerimiz Sayın Faruk Kılıç ve Sayın Muhammed Adak, Midyat Kaymakamı Sayın Mehmet Kaya, AK Parti İl Başkanı Sayın Mehmet Uncu ve beraberindekilerle, Midyat Belediyesini ziyaret ettiler.  Midyat Belediye Başkanı Sayın Veysi Şahin, İlçemizde devam eden, tamamlanan ve planlanan kamu yatırımları hakkında Sayın Bakanlarımıza ve Sayın Valimize bilgiler verdi.  @iletisim  @tcicisleri  @csgbakanligi  @uabakanligi";;0
https://www.instagram.com/p/DRm1aXHDGeJ/;Carousel;168;0;0;2025-11-28 19:26:15;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/587766597_17951192655046885_446300169675480895_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTk0MDIzODQyNzA0OTM4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=J6aQuaVyvfoQ7kNvwHD7VPl&_nc_oc=AdnAgb6pkw0yBy5DmXGo6eNIcgXxj5CuqKEedVNmzXjjNLht6BYFi-fBRhNH77mqYfG9P69Wegmr9GUg6euSZSDM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_AfjnusfPHSUeV1ceA1VHWvjNlK8H2R1sduTwyFq00efjZA&oe=6931229C;"📌 Mardin-Midyat Karayolu Projesi  Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. Vedat Işıkhan ile Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu; Valimiz Sayın Tuncay Akkoyun, Mardin Milletvekillerimiz Sayın Faruk Kılıç ve Sayın Muhammed Adak, AK Parti İl Başkanı Sayın Mehmet Uncu ve beraberindekilerle, Artuklu İlçemizde yapımı devam eden “Mardin-Midyat Karayolu Otogar Kavşağı Projesi”ni yerinde inceleyerek çalışmalar hakkında bilgiler aldılar.  @iletisim  @tcicisleri  @csgbakanligi  @uabakanligi";;0
https://www.instagram.com/p/DRmoR0AjOpi/;Carousel;328;0;0;2025-11-28 17:31:30;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/589839250_17951181390046885_5520407603422012628_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTg4MjQ3NzkxMTczNTIyOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjd4NzEyLnNkci5DMyJ9&_nc_ohc=MZmBplpxBYQQ7kNvwGh01HI&_nc_oc=AdnmqWWq6L2ZP1GWlI58Yr3LmxNtPdqminmxA_9CnyOt0pUyWoIgaXwYQdZxvDXngFPkrGfauve_aQvCtaW88d0h&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_AfgFB1-3_G_FlNXk6zmaezDx2dxqkRVPGT1ftVqqv6xDBQ&oe=69311CFA;"📌Mardin İl Koordinasyon Toplantısı  Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. Vedat Işıkhan ile Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu Valiliğimizi ziyaret ettiler.  Valilik girişinde Valimiz Sayın Tuncay Akkoyun tarafından karşılanan Sayın Bakanlarımız, Valilik Şeref Defterini imzaladılar.  Ardından Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. Vedat Işıkhan ile Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu Başkanlığında; Valimiz Sayın Tuncay Akkoyun, Mardin Milletvekillerimiz Sayın Faruk Kılıç ve Sayın Muhammed Adak, AK Parti İl Başkanı Mehmet Uncu, Midyat Belediye Başkanı Veysi Şahin, Ömerli Belediye Başkanı Hüsamettin Altındağ, Savur Belediye Başkanı Engin Uğur Hamidi, Yeşilli Belediye Başkanı Hayrettin Demir, Çalışma ve Sosyal Güvenlik Bakanlığıma bağlı İl Müdürleri, Ulaştırma ve Altyapı Bakanlığına bağlı Bölge ve İl Müdürlerinin katılımıyla “Mardin İl Koordinasyon Toplantısı” gerçekleştirildi.  @iletisim  @tcicisleri  @csgbakanligi  @uabakanligi";;0
https://www.instagram.com/p/DRmnLWcjGIS/;Carousel;291;0;0;2025-11-28 17:21:52;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/588795789_18275999959304771_8744380860094059967_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTg3NzYzMzIxMzczMzgxMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=TU3gQfPZe3YQ7kNvwHVahrF&_nc_oc=Adk4U-KFuWhWh1Yn3yZajSuw0JQmMFxp7kPR0avKeMdvkxmLLeXq6i-p6xQQD_OF69CVRFg-dY-ordDX-MDSazMu&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_AfgfUPzsk4udxWgBpqA7PAXfgFez_8Ut-9-nsl9eVFwGDQ&oe=69311607;📌Dargeçit/ Kırsal Kartalkaya Mahallesine Halı Saha Kazandırdık🏟️  Mardin Büyükşehir Belediyesi Sosyal Hizmetler Daire Başkanlığımız tarafından, Dargeçit İlçemiz Kartalkaya Mahallesi gençlerinin talebi doğrultusunda halı saha spor tesisi yaparak faaliyete aldı.  Valimiz/Büyükşehir Belediye Başkan Vekilimiz Sayın Tuncay Akkoyun’un mahalleyi ziyareti sırasında gençlerimiz ve çocuklarımız tarafından iletilen talep, kısa sürede yerine getirilerek modern ve güvenli bir spor alanına dönüştürüldü.  Gençlerimizin sporla buluşmasını, sağlıklı ve sosyal bir yaşam sürmelerini desteklemek adına hayata geçirilen tesis, mahalle sakinleri tarafından büyük memnuniyetle karşılandı.;;0
https://www.instagram.com/p/DRmSWaijNPw/;Carousel;222;0;0;2025-11-28 14:19:53;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/587761075_17951164038046885_2192127331755704159_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTc4NjAzMTQyNjM1Njc2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjV4OTEwLnNkci5DMyJ9&_nc_ohc=KVR8r8QnjlcQ7kNvwFwhK8e&_nc_oc=AdkmXgQTlx8fH8gcQmbwi_ELwrEoCjT8H_O_xEk2ocdkhOMRcqteJ3vxxGL4OsFkcdzYaMdmlsh8jVRFQM4Pz_dO&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_AfiTStlXY3qShRj2DWtxpTLoJRYvLiw9ZOvyRGZX0A2dRw&oe=6930FF52;"Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. Vedat Işıkhan ile Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu; Valimiz Sayın Tuncay Akkoyun, Mardin Milletvekillerimiz Sayın Faruk Kılıç ve Sayın Muhammed Adak, AK Parti İl Başkanı Sayın Mehmet Uncu ve beraberindekilerle, İlimizde planlanan, tamamlanan ve devam eden ulaşım altyapısı projelerini yerinde inceleyerek bilgiler aldılar.🛣️  @iletisim  @tcicisleri  @csgbakanligi  @uabakanligi";;0
https://www.instagram.com/p/DRmIzZXDAuR/;Photo;282;0;0;2025-11-28 12:56:27;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/587487177_17951157618046885_5547382439977829617_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTc0NDA1Mzg5MjM1MjkxMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=cla-Naz2TBoQ7kNvwEQ6hZR&_nc_oc=AdnI799iyNYdVzUlJ2davuUKu8YTcR6ZDO0kh3giCsnLnCsJ2F7Nl0AsBksU71GCQRQbD7SKsc1IhW_EflI-bppd&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_AfiFtY2UgfGBJ4kC1lyyjymkZ6j8T511b3x6a08I8ny4HA&oe=69311E7A;"İlimizi teşrif eden Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. Vedat Işıkhan ile Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu; Valimiz Sayın Tuncay Akkoyun ve İl Protokolümüz tarafından Mardin Prof. Dr. Aziz Sancar Havalimanında karşılandı.  @iletisim  @tcicisleri  @csgbakanligi  @uabakanligi";;0
https://www.instagram.com/p/DRkYtWlDFl4/;Carousel;296;0;0;2025-11-27 20:36:58;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/587955082_17951094822046885_410343554004293606_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NTI1MTA1MDIwNzY2NzI3Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMDB4OTAwLnNkci5DMyJ9&_nc_ohc=iKXm3jdFbx4Q7kNvwGjRU6a&_nc_oc=AdkObRyhGIw4TVE5e5IeHw0O_DJRr4A4vk32G4jaGKiLcaz1xk1QJEMAVCr-oZLf6pGAj1Os_3XPbBHvOfP6HP2E&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_Afjs1r_GqMxY9qCK2DRb1986P5gJORE9EFD7bQzaaBqp9Q&oe=69312DE8;"Valimiz Sayın Tuncay Akkoyun; Vali Yardımcısı Hasan Kurt ve beraberindekilerle, vefat eden Ramazan Değer’in taziyesine katılarak ailesine başsağlığı dileklerinde bulundu.  @iletisim  @tcicisleri";;0
https://www.instagram.com/p/DRkMIr0DGO3/;Photo;173;0;0;2025-11-27 18:47:06;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/588785902_17951084748046885_2433850190391621090_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTE5NTc2MTAwMTM5MTAzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=DBiXUvgr4_AQ7kNvwEOeDbu&_nc_oc=AdkoNtwNbBbO5r_k8iSfCdsEqehirn9oJH9QHDzBbfpVhwF7AjtZ6eqF0YPwqnb2WCasudVWnA_9A7KDXIGbK_Cs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_AficW2Kja0F_yDEgMQs6w62c4XPzAlcw1o8x9vcmaNh8PA&oe=693132E6;Polis Akademisi Akademik Kadrosundan Doç. Dr. Ülkü Nur Zengin, Dr. Öğr. Üyesi Kübra Betül Biçen Gören, Araştırma Gör. Dr. Öğr. Üyesi Birce Beşgül ve Spor Antrenörü Öğr. Gör. Tuğba Cin, Valimiz Sayın Tuncay Akkoyun’a ziyarette bulundu.  @iletisim  @tcicisleri;;0
https://www.instagram.com/p/DRj7ffQDF7M/;Photo;130;0;0;2025-11-27 16:21:40;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/587642355_17951070342046885_5047399220797280925_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTEyMjU2MTI2OTc4NDI2OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYxLnNkci5DMyJ9&_nc_ohc=JLcb1wYFRxEQ7kNvwHSEFbn&_nc_oc=AdkNB-3Zto_xtBrpIbCAuC6hg5QpmPrWMTIX4yuQzwI75PWYoshZ_fbs6koudPWXrsq331yQ1ttF9upniNeylud2&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_Afil1yJ_FEllsDr4TJtblrCBhMYmqMr0Bv2a4BbBRESrog&oe=69310697;Radyo Televizyon Yayıncıları Meslek Birliği Yönetim Kurulu Başkanı M. Aydın Şerbetçioğlu, Kültür ve Turizm Bakanlığı Telif Hakları Daire Başkanı Sanem Arıkan, İstanbul Üniversitesi İletişim Fakültesi Prof. Dr. Nilüfer Timisi Nalçaoğlu, Kültür ve Turizm Bakanlığı Telif Hakları Genel Müdürlüğü Uzman Murat Kartal,  Mardin Artuklu Üniversitesi Güzel Sanatlar Fakültesi Dekanı Prof. Dr. Mehmet Işık, RATEM Bilişim A.Ş. Genel Müdürü Yusuf Gürsoy, RATEM Başkan Yardımcıları İdris Taş, Efsun Tekyeten ve Banu Genç, Güneydoğu Anadolu Gazeteciler Federasyonu Genel Başkanı Mehmet Çelik ve RATEM Mardin Temsilcisi Yılmaz Çiçekana, Valimiz Sayın Tuncay Akkoyun’a ziyarette bulundular.  @iletisim  @tcicisleri;;0
https://www.instagram.com/p/DRiHB_gjCQE/;Photo;170;0;0;2025-11-26 23:24:01;https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/589205025_17951003490046885_4643029827594925600_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NDYxMDM2MDkyNjc0MTUwOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=hJe8LZm2KWwQ7kNvwGtNSQb&_nc_oc=AdkGarhdcTkDORvxBkTqKqbQXPrCjipGDY5jMriN-PiD6N_bJ4f7ybm13AL6JWwU3EyZJ14WzePh4wU8Lym8sSRG&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=P6Ip1yq5ozn-UY2JeeDSrQ&oh=00_AfixsMFoWAvFV8ITcp6eFLcdr3SL4uM_dKprcaTtN8iF4A&oe=69311DF0;"Valimiz Sayın Tuncay Akkoyun; ▶️ İş İnsanı Hüsamettin Aktoğ ve oğlu Muhammet Mustafa Aktoğ’u Valilik Makamında ağırladı.  @iletisim  @tcicisleri";;0
https://www.instagram.com/p/DRhz-u5jDv3/;Photo;115;0;0;2025-11-26 20:37:33;https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/588613238_17950992804046885_6675984839883612119_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NDUyNjU3NDA1MDQyNTg0Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=a_ALEDqai-cQ7kNvwHv4P_f&_nc_oc=AdnVEkE-ZwI-oyRKSM-gbfe8hmi9eypQdwfYL0OZkAmWSK--Kq1Hn81FpF79NjQd9Cxxk1zTpUjqtnhbmNFyeNX_&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=w0_xRHhIyo4KdsEBj60n9g&oh=00_Afieph3tp1b5vX77mPxBVZWqEOOxVXgtDOTPB9nqeZtBgg&oe=6931196B;"Valimiz Sayın Tuncay Akkoyun; ▶️ Nusaybin Esnaf ve Sanatkarlar Odası Yönetim Kurulu Üyesi Beşir Aydın, Nusaybin Tekstil ve Sanayici İş Adamları Derneği Başkanı  Bülent Ergün ve Yönetim Kurulu Üyelerini Valilik Makamında ağırladı.  @iletisim  @tcicisleri";;0
https://www.instagram.com/p/DRhn-REiKcx/;Photo;203;0;0;2025-11-26 18:52:37;https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/588985684_17950983495046885_6118113557574385909_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NDQ3Mzc2NTQ2NDM1MjU2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYxLnNkci5DMyJ9&_nc_ohc=H4IOi2nIXAMQ7kNvwHkOvy3&_nc_oc=AdnzSJAV5qs0vQr6rg_td_YsDqv-zJSHUMvWxPRvTAQpYyYJv6A0iiDjLfrSR7JsY6eC7ryi9swBr7xEyzkPtBfR&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=w0_xRHhIyo4KdsEBj60n9g&oh=00_AfiX8xPtNeYgDxrJBXxS4KoSOgQuC2oYnCQq2UYIwRsRCA&oe=69310108;"Valimiz Sayın Tuncay Akkoyun; ➡️ Türkiye Harp Malûlü Gaziler-Şehit Dul ve Yetimler Derneği Şube Başkanı Gazi İbrahim Arı ve Kahraman Gazilerimizi Valilik Makamında ağırladı.  @iletisim  @tcicisleri";;0
https://www.instagram.com/p/DRhYWLcCLZT/;Photo;168;0;0;2025-11-26 16:36:05;https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/584513501_17950972113046885_8568759037517671706_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NDQwNTAzOTkzOTQzNDA2Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYxLnNkci5DMyJ9&_nc_ohc=3CbMk0AA6qUQ7kNvwEk6SjV&_nc_oc=AdmI9giQG6vVV_8dhSpPMkHYp-ikziIPWDLgzjQO-bK7HSdqU70nBm8MgNRFTSdWWjFL3gGJvu5WX-7f16zP_RYo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=w0_xRHhIyo4KdsEBj60n9g&oh=00_Afi8YlXvi8jbzyN68b0xokpvVJjox_BtetiRL9w1emaKAg&oe=69312CDD;"Valimiz Sayın Tuncay Akkoyun; ▶️ Şehit Gazi Sen Konfederasyonu Mardin İl Temsilcisi Kahraman Kurtay’ı Valilik Makamında ağırladı.  @iletisim  @tcicisleri";;0
https://www.instagram.com/p/DRhP3WPiJyH/;Photo;154;0;0;2025-11-26 15:21:58;https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/587379173_17950966842046885_7346785404820782506_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NDM2NzczNjg2NTAwNDY3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=LlN-bGEyPzoQ7kNvwEh4SPp&_nc_oc=Adk4muMGle6HzB6BNC3rbv1VDWCFEbr_v-nzTvuH4t1GE2l1Tgx-8kzo_qPjJhZTqib1he8mrYljMKo49feAsBe6&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=w0_xRHhIyo4KdsEBj60n9g&oh=00_Afizj-NAKZ0x5tJuhv2BVZUOD0yWoVEDzUvbgbmw48iUrQ&oe=69310F6F;"Valimiz Sayın Tuncay Akkoyun; ▶️ 15 Temmuz Şehidimiz Şehidimiz Mahmut Eşit’in kardeşi Enver, eşi Fatma Eşit, çocukları Ahmet Eşit ve Melike Eşit’i Valilik Makamında ağırladı.  @iletisim  @tcicisleri";;0
https://www.instagram.com/p/DRfGf5biOL4/;Photo;223;0;0;2025-11-25 19:21:38;https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/586278378_17950891050046885_4736319407389859811_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3Mzc2MzU5MzAwNzg1MDIzMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYxLnNkci5DMyJ9&_nc_ohc=biNx-QU50sAQ7kNvwHJDzZG&_nc_oc=AdkVuSVOHo_vSTxzI3gbIbZeMpSmNc7w-6ENXZ7CwbZ-dbOPZsalfagW4h_IIZzaj1plapIyibIjY3RMLrBJpbkp&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=w0_xRHhIyo4KdsEBj60n9g&oh=00_AfjbtxdklJseCwWNd2iA1zQcjfdfSlN9MuDJGe-xj8F64Q&oe=69312365;AK Parti Mardin İl Gençlik Kolları Başkanı Sayın Süheyl Uçar, Valimiz Sayın Tuncay Akkoyun’a ziyarette bulundu.  @iletisim  @tcicisleri;;0
