PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpWbSHDViY/;Carousel;202;5;0;2025-11-29 18:53:13;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/588394134_17933696043109696_5349801299623695743_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NjY0ODM4ODE3MjE3MzM1OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=e10DNhhKXcwQ7kNvwFIyupF&_nc_oc=AdmlPXK5p5he-dIgniQZZQaWFWr-tH7DoCvaks7ufvvQMyeMn0vDUidcix1fSCkLU6s&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_Afj4kTj0eryRUG3241yCKR9l8vEBpV6_80NdBDLBUT-bjA&oe=69310D7A;39.Olağan Kurultayımızda irademizi sandığa yansıtarak, demokrasiye ve ülkemizin özgür geleceğine dair kararlılığımızı bir kez daha gösterdik.  Kullanılan 1333 geçerli oyun tamamını alarak yeniden Genel Başkanımız seçilen Sayın Özgür Özel’i yürekten tebrik ediyorum. Bu sonuç, partimizin birlik içinde, aynı hedefe odaklanmış güçlü bir örgüt olduğunu bir kez daha ortaya koymuştur.  “Güçlü Yurttaş, Güvenli Gelecek, Kazanan Türkiye” vizyonuyla, şimdi hep birlikte çok daha kararlı bir yürüyüş başlıyor.  Genel Başkanımız Sayın Özgür Özel’in liderliğinde, halkın iktidarı için çalışmaya devam edeceğiz. 🇹🇷;60659.0;0
https://www.instagram.com/p/DRo92nZDQl2/;Carousel;263;6;0;2025-11-29 15:18:30;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/589034061_17933672853109696_8256065220012682755_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NjU0MDMwNjg3MjAzNjUwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjR4OTA4LnNkci5DMyJ9&_nc_ohc=jzp67SIhyQsQ7kNvwGE9YZ-&_nc_oc=Adk_4qmPDdFtt09NzM1lTnp8J3oO2l2HxqEvw1FxZYmWqeHJXlP73Bkdm1ELIA3_eGw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_AfjSYJhHKRTRKqwo4tCVK-z6Xk7WeusHpZsO5llO4x2IfQ&oe=69312B1B;Partimizin 39. Olağan Kurultayı’nın ikinci günündeyiz.  Salondaki coşku, kürsüde yankılanan her söz ve delegelerimizin kararlı duruşu bize şunu gösteriyor: Bu ülke değişime hazır.  Cumhuriyetin kurucu partisi olarak bir asrı aşan mücadelemizle, halkın umudunu yeniden büyütüyoruz. Bu salonda sadece bir kurultay değil, yeni bir yol, yeni bir kararlılık, yeni bir başlangıç var.  Bu ülkenin vicdanı yine konuşuyor: Şimdi, halkın iktidar zamanı.;;0
https://www.instagram.com/p/DRmrfE-jQU3/;Reels;1362;50;38309;2025-11-28 18:00:33;https://scontent-lhr6-2.cdninstagram.com/v/t51.71878-15/586606107_1404262964628018_2198456157001455428_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3NTg5NjU4OTI0NDg5MjQ3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=5UMY6UyU8jQQ7kNvwHJ0TYf&_nc_oc=AdnUlVbBtICMko4-NOf30kVKHr0lZ2HL7GpQHkw5rzYf96ME1Rc6WHNltfG5QMQCLBQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_AfgwonruOuEmovfPp7tIlfOBZuhmGfEJoJWBkIfDg6mKjg&oe=69311BA8;Partimizin 39. Olağan Kurultayı’nda yükselen değişim ve umut enerjisini, Anka Haber Ajansı’na yaptığımız değerlendirmede paylaştık.  Yeni dönemin ruhu belli: Daha çok mücadele, daha çok dayanışma, daha çok Türkiye!  Genel Başkanımız Sayın Özgür Özel’in liderliğinde, halkın iktidarı için kararlılıkla yolumuza devam ediyoruz.;;0
https://www.instagram.com/p/DRmj3QcDfWk/;Carousel;339;3;0;2025-11-28 16:52:55;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/587778938_17933564946109696_6853785526701166014_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTg2MzA1NDAyMjg1MzkzNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjV4OTEwLnNkci5DMyJ9&_nc_ohc=i30t_lB5T0QQ7kNvwF7qzfz&_nc_oc=Adlj4c6Kpl6-MCPL7Dc7ACks5GnODhSdCxBje7_cP2rEKvKc4rxAgVGcfoKQhQMGsbs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_Afii3IyX4n82_6EJevDXkO_WeIvwviJPpXjM2xqSflWNIA&oe=69310E94;"Cumhuriyet Halk Partimizin 39. Olağan Kurultayında, kurultay delegelerimizle birlikte yerimizi aldık; ilk günü büyük bir heyecan ve güçlü bir birlik duygusuyla tamamladık.  Parti programımız ile tüzük ve yönetmelik değişikliklerimizin oy birliğiyle kabul edilmesi, hepimize yeni bir umut ve güçlü bir yol haritası sundu.  Bu program, yalnızca bir siyasi anlayışın değil; eşitliğin, adaletin, refahın ve demokrasi mücadelesinin ortak sesidir.  “Güçlü Yurttaş, Güvenli Gelecek, Kazanan Türkiye” hedefiyle; halkın iktidarını kurmak için daha kararlı, daha örgütlü ve daha umut doluyuz.  Genel Başkanımız Sayın Özgür Özel’in liderliğinde, bu yolculuğun her adımında inancımızı büyütmeye devam edeceğiz.  Kurultayımızın partimize ve ülkemize hayırlı olmasını diliyorum.  #ŞimdiİktidarZamanı";;0
https://www.instagram.com/p/DRkTBbpDbWl/;Carousel;667;10;0;2025-11-27 19:47:16;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/589100998_17933468781109696_3104731899204981017_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTIyNjA0MDAzNDM2MjM3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=OtReMMXfMnEQ7kNvwHgsuY1&_nc_oc=AdlDegwX-qiP1YDADcNsobr1Uwr5fJE2uA43UJKrXhYsfYqe0vAn2eg8qyvljgkHmZs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_AfgTJp8hpD6PHBst7eBgNpZI-Jk63iwjtMqTr5GIvJp8-Q&oe=69310D47;Uzunköprü Belediye Başkanımız Ediz Martin ile birlikte, Ankara Büyükşehir Belediye Başkanımız ve Tarihi Kentler Birliği Başkanımız Mansur Yavaş’ı ziyaret ettik.  Yerel yönetimlerde adalet, dayanışma ve ortak akıl anlayışını güçlendiren bu buluşmada, kentlerimizin geleceğine dair güzel fikirler paylaştık.  Nazik ev sahipliği için Mansur Başkanımıza teşekkür ediyorum.;;0
https://www.instagram.com/p/DRkANfVjWnq/;Photo;207;6;0;2025-11-27 17:02:54;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/587712097_17933451189109696_80743846576255835_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NTE0MzMxNDY0NDEwMTYxMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4NC5zZHIuQzMifQ%3D%3D&_nc_ohc=FUyIUyXi2W4Q7kNvwHltbEg&_nc_oc=AdmN5AjZMTGMzeFEUQfAy8sQfAwz2m3AeRhNa1tLsCtykGlRzU4od5RNVo702e6W-oc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_AfjIUKdeCPk0ALaxNB51crNFulkUnCTR2G4kZJepdOllNw&oe=69312322;SODEMSEN Genel Merkezindeki toplantıda, belediyelerimizin ortak çalışma kültürünü güçlendirmeye yönelik değerlendirmelerde bulunduk.  Toplantıda SODEMSEN Disiplin Kurulu Başkanı olarak görevlendirildim. Bu görevi, yerel yönetimlerde adalet ve iş birliğini güçlendirmek adına önemli bir sorumluluk olarak görüyorum.  Belediyelerimizin ortak hedefleri için dayanışma içinde çalışmaya devam edeceğiz.;;0
https://www.instagram.com/p/DRh4EVuDUGd/;Reels;447;15;20239;2025-11-26 21:18:14;https://scontent-lhr8-2.cdninstagram.com/v/t51.71878-15/587553299_1832802604272846_5021452832259756911_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NDU0NDU1MTUxNjkxNDA3Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=Ltvrf6_JjfQQ7kNvwHaMXrT&_nc_oc=AdknfcMPcam_tIsxyimCsb6DI5cMHzhJs4FvuTsIyeabH1LPJrg8sHukYN6Ol59Ybwo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_AfgwAsQmHO0_EHLvIx4LGiJQVb0Mv2vYLUKN3_X93ut5GQ&oe=693103FA;"103 yıldır Edirne’nin kalbinde aynı ateş yanıyor; Özgürlük, onur ve vazgeçmeyen bir direnişin ateşi.  Dün yine gördük ki bu şehir, kurtuluşunun gururunu her kuşakta yeniden taşıyor.  Yaşasın Edirne’nin kurtuluşu! 🇹🇷";;0
https://www.instagram.com/p/DRhquPqDUpz/;Carousel;288;12;0;2025-11-26 19:16:39;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/588024527_17933356326109696_6235112251261549537_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NDQ4NTg0ODg0MzQ3ODMxMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=ZvE_p5hlXioQ7kNvwEr7YAP&_nc_oc=Adk2JoxU1KUyzRbeIEzEP3lMOqmz_J6Uu7AkYUCPSfboqX7TI5i99eAdnf0k02NcFSo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_AfjwvwCPrSfcszm__5WC-2kz4AWkO3Rhyjbxn_EiY2TXww&oe=6931092E;"Edirne Belediyemizin 2026 yılı bütçesi, Meclisimizde oy birliğiyle kabul edildi.  Bu bütçe; Edirne’nin kaynaklarını büyüten, borcunu azaltan, yatırımı güçlendiren ve hizmet kapasitesini artıran bir anlayışla hazırlandı.  📌 Toplam bütçe: 7,58 milyar TL 📌 Yatırıma ayrılan pay: 1,93 milyar TL (%25,47) 📌 Borç oranı: %18,6 → %11,7’ye düştü  Bu düşüş, Edirne’nin mali disiplininin ne kadar güçlü olduğunu açıkça gösteriyor.  2026’da mahallelerimizin tüm teknik ihtiyaçlarını gözeten, kamusal alanları yenileyen, sosyal ve çevresel yaşamı güçlendiren kapsamlı bir kent iyileştirme ve yatırım programı başlatıyoruz.  Şeffaf, hesap verebilir ve sürdürülebilir bir bütçeyle 2026, Edirne için hizmetin güçlü yılı olacak.  Birlikte çalışıyoruz, birlikte başarıyoruz. Çünkü Edirne bunu hak ediyor.";;0
https://www.instagram.com/p/DRfdYvujWT7/;Carousel;852;10;0;2025-11-25 22:41:38;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/587558060_17933261457109696_856000921263129930_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3Mzg2NDIzNjc3NTQ2OTYxNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjV4OTEwLnNkci5DMyJ9&_nc_ohc=GTsOuYaQq3IQ7kNvwERFxyq&_nc_oc=AdngXY2sHst_MHtrq1S9gEXlN3p_bVJSjl-5Ncm16Qt2a5_Yy-D1RyZO17Y6kHKpudU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_Afh0uoeAkkqGCKEV_A1yU9lAW26FJA2_eNP9qUK_iilcTw&oe=69311EB9;"Edirne’nin kurtuluşunun 103. yıl dönümünü, önce düzenlediğimiz resepsiyonla; ardından Tekirdağ Büyükşehir Belediyesi Kent Orkestrası’nın büyüleyici konseriyle taçlandırdık.  Bağımsızlık mücadelemizin gururunu, Edirne’mizin özgürlük ruhunu ve bu şehrin birlik duygusunu hep birlikte yaşadık.  Kent Orkestrası’nın enerjisi ve özenle hazırlanan repertuarı, kutlamalarımıza büyük bir renk ve coşku kattı.  Bu anlamlı güne katkı sunan değerli sanatçılarımıza ve coşkuyu paylaşarak alanlarımızı dolduran tüm hemşehrilerime yürekten teşekkür ediyorum.  Edirne, dün olduğu gibi bugün de özgürlüğün ve dayanışmanın şehridir. 🇹🇷";;0
https://www.instagram.com/p/DRe-Xg2De76/;Carousel;346;5;0;2025-11-25 18:10:35;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/588394127_17933236296109696_1874573826997956828_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3MzcyNzgyNTI3NTQ5NDA1MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=-_DVeSx8-VwQ7kNvwFSqUn8&_nc_oc=Admd6znu5I19Q2Hg7GYDuIP0_xnXmbUDLbGlMrppBIQjyn4-lO1THCWQgmQwzO5cla4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_AfipnVUqZDeAIsQ9YiDTF7tCRVX9q-tSrY-bL_CpfwYC9w&oe=693121B6;"Ekiplerimiz, altyapı yenileme çalışmalarını aralıksız sürdürüyor.  Eski ve sorunlu hatların yenilenmesiyle su kayıplarını azaltmayı, mahallelerimizin altyapısını uzun yıllar güvenli ve sorunsuz hale getirmeyi hedefliyoruz.  Suyuna, toprağına ve tarihine sahip çıkan bir Edirne için çalışıyoruz. Adım adım yenileniyoruz; her adımda Edirne’miz kazanıyor.";;0
https://www.instagram.com/p/DRe1-HdjX0e/;Carousel;422;3;0;2025-11-25 16:57:13;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/588766741_17933228703109696_6014470871599116113_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3MzY5MDg5MTE0MDQwODU3Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=NCBCy5iu6FEQ7kNvwH71BVb&_nc_oc=AdklFTcBU0DXagxl8vMniq0-DOheF76OCbcce5qhvlti1xHD99du2u6_pv8s6z_zxao&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=3x7kQiv4n8nVF9R_f9uxfw&oh=00_AfhtuPKl_eCuqwcFOMdVl-S0gKLfO7oKYR2GYP9ygBATFQ&oe=693121E7;"Bugün, Edirne’mizin düşman işgalinden kurtuluşunun 103. yıl dönümünde; Kurtuluşun 100. Yıl Anıtı’nda düzenlenen çelenk sunma töreninde bir kez daha aynı inanç ve kararlılıkla bir aradaydık.  Atalarımızın canları pahasına savunduğu bu topraklarda, bağımsızlığımızın ve özgürlüğümüzün değerini her gün yeniden hatırlıyoruz. Edirne’nin her taşında, her sokağında o mücadele ruhu, o kararlılık hala yaşıyor.  103 yıldır aynı gururla söylüyoruz: Edirne, asla boyun eğmeyenlerin şehridir. 🇹🇷";;0
https://www.instagram.com/p/DRevpdLjcll/;Carousel;533;5;0;2025-11-25 16:01:58;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/587366607_17933223324109696_5644682733947307532_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3MzY2MzA3NTg3NTI2NTQ2MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=31VnxxrUTT0Q7kNvwHqBLgK&_nc_oc=Admlq5jMn3NvJWbqy80iNG2gcK5q6aj1EYpvi35ISgHQjJEm_e-_a2STcixN8gDK-bM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=v52i-vxSue8pYP0Jy_IxLg&oh=00_Afhf3gFnwPjpAjc2eoWlavG-7dshXFOJEhmQYnokxIe2Xw&oe=6930FBC6;"Bugün Edirne’de; kadınların yaşam hakkına, özgürlüğüne ve eşitliğine sahip çıkmak için hep birlikte güçlü bir dayanışma sergiledik.  Tarihi Belediye Binamız önünde başlayan kortej yürüyüşümüzde kentimizin sokaklarını eşitlik, adalet ve dayanışmanın sesiyle doldurduk. Ardından Atatürk Anıtı’nda gerçekleştirdiğimiz basın açıklamasıyla, kadına yönelik şiddetin karşısında asla susmayacağımızı bir kez daha kararlılıkla ifade ettik.  Son olarak, CHP Edirne Kadın Kollarımızın da yapmış olduğu açıklamanın ardından hazırladıkları bildirgenin dağıtımına katılarak mücadelemizin hukuki, toplumsal ve insani boyutuna dikkat çektik.  Edirne’de hiçbir kadın yalnız değildir. Bu şehir; dayanışmanın, adaletin ve kadınların yanında dimdik duranların şehridir.  Kadına yönelik şiddetle mücadelemiz, bugün de yarın da aynı inanç ve kararlılıkla devam edecek.";;0
https://www.instagram.com/p/DRefV-tDdsZ/;Carousel;671;5;0;2025-11-25 13:39:30;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/589179738_17933209839109696_1680661802333475768_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3MzU5MTM2NDgzNjM0ODg1MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=90ogh1YsmVYQ7kNvwHndoMP&_nc_oc=AdkM4xbiMW8P-U98zX0hnVTPVOfCeJn2BrsPwfvVyCovPMOPDQdB3gGxZKfS-sn2Qpo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=v52i-vxSue8pYP0Jy_IxLg&oh=00_Afg0FectvWEp3zRDXEbGf99Q0fwPWVo1iv4Rm_Ror08WYw&oe=69310EB4;"Edirne’mizin kurtuluşunun 103. yıl dönümünü, Cumhuriyetimizin değerleri ve özgürlük ruhuyla büyük bir gurur içinde kutluyoruz.  Bugün şehrimizde yaşanan coşku, birlik ve dayanışma duygusu; Edirne’nin tarih boyunca taşıdığı kararlılığın en güçlü yansımasıdır.  Kurtuluşumuz kutlu olsun Edirne’m. 🇹🇷";;0
https://www.instagram.com/p/DReNHtsjcfK/;Carousel;699;7;0;2025-11-25 11:00:16;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/587742970_17933198268109696_1620173536129601776_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MzUxMTIzMTQyNTMwMDk0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjV4OTEwLnNkci5DMyJ9&_nc_ohc=a6KiE8lOCX4Q7kNvwHPmHv1&_nc_oc=AdnlS9HHFUYuAPuIQVZSbWRrradgfwKa60zc4f3UnSyB3Ekze7Cazz6bPpvkfNzQ_-o&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=v52i-vxSue8pYP0Jy_IxLg&oh=00_AfiQLwGhQiMJkbvhTOloFIXceiEgoMKH7MsBvX0k1xukrA&oe=69312C3C;Edirne’mizin düşman işgalinden kurtuluşunun 103. yıl dönümü etkinliklerini, Atatürk Anıtı’nda gerçekleştirdiğimiz çelenk sunma töreniyle başlattık.  Bu topraklara özgürlük ve umut getiren başta Ulu Önderimiz Gazi Mustafa Kemal Atatürk olmak üzere tüm kahramanlarımızı saygı ve minnetle anıyorum.  Kurtuluşumuzun ruhunu yaşatmaya ve Edirne’miz için çalışmaya kararlılıkla devam edeceğiz. 🇹🇷;;0
https://www.instagram.com/p/DReJnVmjb3d/;Photo;209;2;0;2025-11-25 10:29:37;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/587529001_17933196159109696_5947867814687353321_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3MzQ5NTgyMzQ1NjY0ODY2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=m2y4DH-OFSsQ7kNvwHGNWxs&_nc_oc=AdmHYzn0ixAKb9by3LTi34M-5eYm25X-Y5PqI9kQg24HYVCklvqxW3pasM2ylETUSK8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=v52i-vxSue8pYP0Jy_IxLg&oh=00_AfjY7fFz4JzA7My45XFKzhhBETtPh-CmqojtwYb3t3uHLQ&oe=693116E0;"Biz susmuyoruz, görmezden gelmiyoruz, vazgeçmiyoruz. Edirne’de her kadın ve her kız çocuğunun özgür, eşit ve güvenli bir yaşam sürmesi için çalışıyoruz.  Bugün değil, her gün… Şiddete dur diyoruz!  25 Kasım, yalnızca bir gün değil; bir duruşun, bir mücadelenin ve güçlü bir dayanışmanın adıdır.  Bir kez daha söylüyoruz: Şiddetin hiçbir bahanesi, hiçbir haklı nedeni olamaz.  Kadına yönelik şiddetin karşısında susmayacak, dayanışmayla duracağız. Edirne’de hiçbir kadın yalnız yürümeyecek.";;0
https://www.instagram.com/p/DReF2oiDXS0/;Reels;258;0;18789;2025-11-25 09:58:29;https://scontent-lhr6-1.cdninstagram.com/v/t51.71878-15/588236051_3173577286151940_5393330596816743002_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3MzQ3OTI4MjM4ODMzMzc0OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=K3pv0cpu2AQQ7kNvwG63bOO&_nc_oc=AdlSUgQqjCUqCLH4AVpSKHzgKT4R_eEfbF6ViIQ2_Sha7EtqDR0EaYPehE8ttRl-vD4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=v52i-vxSue8pYP0Jy_IxLg&oh=00_AfhjbKwiOl3sqiZNCmwiXJcnTCa5SctxIrlxdb5h5uTbIQ&oe=69311EEC;Bir ülkenin geleceğini bilgiyle, sevgiyle ve sabırla inşa eden tüm öğretmenlerimize gönülden teşekkür ediyorum.  Hayatımıza dokunan, yolumuzu aydınlatan ve her öğrencisinde yeni bir umut yeşerten öğretmenlerimizin emeği unutulmaz ve değerlidir.  Başöğretmenimiz Ulu Önder Mustafa Kemal Atatürk başta olmak üzere, tüm öğretmenlerimizi saygı ve minnetle anıyorum.;;0
https://www.instagram.com/p/DRd_hDBDUCi/;Photo;428;7;0;2025-11-25 09:01:23;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/587832865_17933190831109696_1365898847754309278_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3MzQ1MTQxMDcxODE0NjcyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNDd4MTY3OS5zZHIuQzMifQ%3D%3D&_nc_ohc=gJi43FX_2zcQ7kNvwFuN6zl&_nc_oc=AdkeOpIYXXgcKeXL44NwoT50z8PNinAwm5xlCkOf3Iz01XJYrd_OQONHdMeYEZbcpM0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=v52i-vxSue8pYP0Jy_IxLg&oh=00_AfjUyu4OgJeVEMXZNWZcuH02esZllAHRY6vfqIJVWwJHsg&oe=69312070;"Edirne’mizin düşman işgalinden kurtuluşunun 103. yıl dönümünde; özgürlüğümüzü, bağımsızlığımızı ve geleceğimizi bizlere armağan eden başta Ulu Önderimiz Gazi Mustafa Kemal Atatürk olmak üzere tüm kahramanlarımızı minnetle anıyorum.  Edirne, tarih boyunca olduğu gibi bugün de hürriyetin, onurun ve vatan sevgisinin simgesidir.  Bu mirası korumak, yüceltmek ve gelecek nesillere taşımak hepimizin ortak sorumluluğu.  Edirne’mizin Kurtuluşu Kutlu Olsun. 🇹🇷";;0
